Class,Order,Effect_Order,Family,Effect_Family,Species,Effect_Species
Reptilia,Squamata,0,Lacertidae,0.634313103,Algyroides fitzingeri,-0.361891211
Reptilia,Squamata,0,Lacertidae,0.634313103,Algyroides marchi,0.056991949
Reptilia,Squamata,0,Lacertidae,0.634313103,Algyroides moreoticus,-0.044195295
Reptilia,Squamata,0,Lacertidae,0.634313103,Archaeolacerta bedriagae,0.459688144
Reptilia,Squamata,0,Lacertidae,0.634313103,Atlantolacerta andreanskyi,0.263225761
Reptilia,Squamata,0,Lacertidae,0.634313103,Congolacerta vauereselli,-0.147058823
Reptilia,Squamata,0,Lacertidae,0.634313103,Eremias grammica,-0.547052927
Reptilia,Squamata,0,Lacertidae,0.634313103,Eremias intermedia,-0.04282203
Reptilia,Squamata,0,Lacertidae,0.634313103,Eremias lineolata,-0.35833871
Reptilia,Squamata,0,Lacertidae,0.634313103,Eremias scripta,-0.077915611
Reptilia,Squamata,0,Lacertidae,0.634313103,Eremias velox,-0.056687551
Reptilia,Squamata,0,Lacertidae,0.634313103,Heliobolus spekii,0.506301457
Reptilia,Squamata,0,Lacertidae,0.634313103,Iberolacerta monticola,0.078681395
Reptilia,Squamata,0,Lacertidae,0.634313103,Lacerta agilis,0.007201633
Reptilia,Squamata,0,Lacertidae,0.634313103,Lacerta viridis,0.046821893
Reptilia,Squamata,0,Lacertidae,0.634313103,Latastia longicaudata,-0.533783452
Reptilia,Squamata,0,Lacertidae,0.634313103,Ophisops jerdonii,0.032768817
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis bocagei,0.21799168
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis gaigeae,0.08118004
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis lilfordi,0.651545076
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis muralis,0.123849747
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis raffoneae,0.072251819
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis sicula,-0.189720873
Reptilia,Squamata,0,Lacertidae,0.634313103,Podarcis tauricus,0.034925944
Reptilia,Squamata,0,Lacertidae,0.634313103,Zootoca vivipara,-0.034312889
Reptilia,Squamata,0,Leiosauridae,0.272562759,Enyalius brasiliensis,0.178613407
Reptilia,Squamata,0,Liolaemidae,0.015124921,Liolaemus quilmes,0.227826319
Reptilia,Squamata,0,Liolaemidae,0.015124921,Liolaemus ramirezae,-0.21791479
Reptilia,Squamata,0,Natricidae,-0.625616344,Nerodia erythrogaster,-0.417432685
Reptilia,Squamata,0,Natricidae,-0.625616344,Nerodia fasciata,-0.677451359
Reptilia,Squamata,0,Natricidae,-0.625616344,Storeria occipitomaculata,0.256632965
Reptilia,Squamata,0,Natricidae,-0.625616344,Thamnophis sauritus,0.529492573
Reptilia,Squamata,0,Natricidae,-0.625616344,Thamnophis sirtalis,0.228250918
Reptilia,Squamata,0,Natricidae,-0.625616344,Virginia striatula,0.529492573
Reptilia,Squamata,0,Natricidae,-0.625616344,Virginia valeriae,-0.858958333
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Callisaurus draconoides,-0.165578856
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Cophosaurus texanus,0.320668818
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Holbrookia maculata,-0.005588786
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Phrynosoma blainvillii,0.15589062
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Phrynosoma cornutum,-0.330913508
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Phrynosoma modestum,-0.111743105
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Phrynosoma platyrhinos,-0.140986862
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Phrynosoma solare,-0.221546662
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus arenicolus,-0.049971875
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus bicanthalis,0.103484508
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus clarkii,-0.237601365
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus graciosus,0.15574351
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus grammicus,0.098228449
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus magister,-0.375214551
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus merriami,0.19459522
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus occidentalis,-0.024711712
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus scalaris,-0.000609924
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus undulatus,-0.039027476
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Sceloporus virgatus,0.13290848
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Uma exsul,0.556365724
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Urosaurus ornatus,-0.005464831
Reptilia,Squamata,0,Phrynosomatidae,0.14533019,Uta stansburiana,0.086310673
Reptilia,Squamata,0,Phyllodactylidae,0.270748103,Gymnodactylus darwinii,0.179491815
Reptilia,Squamata,0,Phyllodactylidae,0.270748103,Tenuidactylus caspius,-0.002067572
Reptilia,Squamata,0,Scincidae,0.354726544,Carlia jarnoldae,0.04120241
Reptilia,Squamata,0,Scincidae,0.354726544,Carlia munda,-0.204776726
Reptilia,Squamata,0,Scincidae,0.354726544,Carlia rostralis,0.194046793
Reptilia,Squamata,0,Scincidae,0.354726544,Carlia schmeltzii,-0.358428119
Reptilia,Squamata,0,Scincidae,0.354726544,Carlia storri,0.33203225
Reptilia,Squamata,0,Scincidae,0.354726544,Carlia vivax,-0.18262723
Reptilia,Squamata,0,Scincidae,0.354726544,Chalcides sepsoides,0.468443149
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus australis,0.033849542
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus helenae,-0.068738399
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus leonhardii,0.020587307
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus pantherinus,-0.014485408
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus piankai,-0.281799363
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus quattuordecimlineatus,0.281761344
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus spaldingi,-0.267866446
Reptilia,Squamata,0,Scincidae,0.354726544,Ctenotus taeniolatus,-0.122149043
Reptilia,Squamata,0,Scincidae,0.354726544,Emoia atrocostata,0.08868989
Reptilia,Squamata,0,Scincidae,0.354726544,Lampropholis delicata,0.441609472
Reptilia,Squamata,0,Scincidae,0.354726544,Lerista elegans,0.614316549
Reptilia,Squamata,0,Scincidae,0.354726544,Lerista lineata,0.32045136
Reptilia,Squamata,0,Scincidae,0.354726544,Lygisaurus malleolus,0.105274287
Reptilia,Squamata,0,Scincidae,0.354726544,Marisora unimarginata,-0.308660625
Reptilia,Squamata,0,Scincidae,0.354726544,Menetia greyii,-0.23929323
Reptilia,Squamata,0,Scincidae,0.354726544,Mochlus sundevalli,0.0138516
Reptilia,Squamata,0,Scincidae,0.354726544,Morethia lineoocellata,-0.47024985
Reptilia,Squamata,0,Scincidae,0.354726544,Oligosoma aeneum,-0.019537096
Reptilia,Squamata,0,Scincidae,0.354726544,Oligosoma alani,-0.025077714
Reptilia,Squamata,0,Scincidae,0.354726544,Oligosoma nigriplantare,0.404678778
Reptilia,Squamata,0,Scincidae,0.354726544,Oligosoma ornatum,0.221321594
Reptilia,Squamata,0,Scincidae,0.354726544,Oligosoma whitakeri,-0.331736397
Reptilia,Squamata,0,Scincidae,0.354726544,Oligosoma zelandicum,0.151757777
Reptilia,Squamata,0,Scincidae,0.354726544,Ophiomorus raithmai,-0.208567771
Reptilia,Squamata,0,Scincidae,0.354726544,Plestiodon septentrionalis,0.093912037
Reptilia,Squamata,0,Scincidae,0.354726544,Scincella cherriei,0.068021807
Reptilia,Squamata,0,Scincidae,0.354726544,Scincella lateralis,0.209609519
Reptilia,Squamata,0,Scincidae,0.354726544,Sphenomorphus maculatus,0.163576634
Reptilia,Squamata,0,Scincidae,0.354726544,Tiliqua rugosa,-0.470262656
Reptilia,Squamata,0,Scincidae,0.354726544,Trachylepis brevicollis,-0.099459357
Reptilia,Squamata,0,Scincidae,0.354726544,Trachylepis quinquetaeniata,-0.362822423
Reptilia,Squamata,0,Sphaerodactylidae,0.404685655,Gonatodes antillensis,0.342189045
Reptilia,Squamata,0,Sphaerodactylidae,0.404685655,Lepidoblepharis xanthostigma,0.171264597
Reptilia,Squamata,0,Sphaerodactylidae,0.404685655,Teratoscincus scincus,-0.248258632
Reptilia,Squamata,0,Teiidae,0.172675073,Ameiva ameiva,-0.15146099
Reptilia,Squamata,0,Teiidae,0.172675073,Ameiva chrysolaema,-0.1091197
Reptilia,Squamata,0,Teiidae,0.172675073,Aspidoscelis hyperythra,0.059434861
Reptilia,Squamata,0,Teiidae,0.172675073,Aspidoscelis scalaris,-0.082063658
Reptilia,Squamata,0,Teiidae,0.172675073,Aspidoscelis sexlineata,0.244899242
Reptilia,Squamata,0,Teiidae,0.172675073,Aspidoscelis tigris,0.120862784
Reptilia,Squamata,0,Teiidae,0.172675073,Cnemidophorus inornatus,-0.069824013
Reptilia,Squamata,0,Teiidae,0.172675073,Cnemidophorus lemniscatus,0.191412457
Reptilia,Squamata,0,Teiidae,0.172675073,Cnemidophorus murinus,0.031287242
Reptilia,Squamata,0,Teiidae,0.172675073,Holcosus quadrilineatus,0.22265492
Reptilia,Squamata,0,Teiidae,0.172675073,Kentropyx striata,-0.140318485
Reptilia,Squamata,0,Teiidae,0.172675073,Salvator merianae,-0.204608764
Reptilia,Squamata,0,Tropiduridae,-0.174724441,Tropidurus itambere,-0.370914509
Reptilia,Squamata,0,Tropiduridae,-0.174724441,Tropidurus torquatus,0.256415639
Reptilia,Squamata,0,Varanidae,-1.21243864,Varanus albigularis,-0.516400701
Reptilia,Squamata,0,Varanidae,-1.21243864,Varanus exanthematicus,-0.110727774
Reptilia,Squamata,0,Varanidae,-1.21243864,Varanus niloticus,0.134843516
Reptilia,Squamata,0,Varanidae,-1.21243864,Varanus salvator,-0.501544577
Reptilia,Squamata,0,Varanidae,-1.21243864,Varanus tristis,0.199305013
Reptilia,Squamata,0,Viperidae,-0.380560489,Agkistrodon contortrix,-0.043810971
Reptilia,Squamata,0,Viperidae,-0.380560489,Agkistrodon piscivorus,-0.459791474
Reptilia,Squamata,0,Viperidae,-0.380560489,Crotalus adamanteus,0.059024979
Reptilia,Squamata,0,Viperidae,-0.380560489,Crotalus horridus,0.987163923
Reptilia,Squamata,0,Viperidae,-0.380560489,Sistrurus miliarius,-0.791971977
Reptilia,Testudines,0,Emydidae,-0.067112507,Terrapene carolina,-0.043979572
Reptilia,Testudines,0,Testudinidae,-0.387471138,Chelonoidis denticulata,-0.179953021
Reptilia,Testudines,0,Testudinidae,-0.387471138,Gopherus agassizii,0.163864427
Reptilia,Testudines,0,Testudinidae,-0.387471138,Gopherus berlandieri,0.054601016
Reptilia,Testudines,0,Testudinidae,-0.387471138,Gopherus polyphemus,-0.388211383
Reptilia,Testudines,0,Testudinidae,-0.387471138,Pyxis arachnoides,-0.339377249
Reptilia,Testudines,0,Testudinidae,-0.387471138,Testudo hermanni,0.435162065
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Accipiter bicolor,0.075014476
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Accipiter cooperii,0.170980724
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Accipiter gentilis,0.300695635
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Accipiter nisus,0.251228293
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Accipiter superciliosus,0.291935004
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Accipiter tachiro,0.047006451
Aves,Accipitriformes,-0.462666813,Accipitridae,-0.048329803,Buteo buteo,0.396146793
